index,salt-9gpl-freq-1khz,salt-13gpl-freq-1khz,salt-17gpl-freq-1khz,salt-21gpl-freq-1khz,salt-24gpl-freq-1khz,salt-28gpl-freq-1khz,salt-32gpl-freq-1khz,salt-36gpl-freq-1khz,salt-40gpl-freq-1khz
0,626,624,608,608,575,575,575,575,575
1,575,572,568,560,560,543,561,560,543
2,504,496,496,496,504,497,499,508,499
3,391,399,415,415,448,448,448,448,448
4,255,255,352,352,384,384,384,384,384
5,255,255,319,352,384,384,384,384,384
6,384,391,415,415,415,415,448,448,448
7,568,563,563,563,543,543,568,543,543
8,768,768,708,704,671,704,704,671,671
9,768,768,704,671,639,639,639,639,639
10,511,511,511,511,511,511,511,511,511
11,384,384,384,384,399,391,391,399,399
12,255,255,319,319,384,384,352,384,384
13,255,255,319,352,384,384,384,384,384
14,384,384,399,399,412,415,415,415,415
15,527,527,542,540,527,527,540,527,536
16,632,608,608,575,575,575,575,575,575
17,614,575,575,575,575,575,575,575,575
18,569,568,543,543,543,543,543,543,543
19,455,463,455,463,480,480,480,480,480
20,384,387,391,399,415,415,415,415,415
21,384,384,391,399,399,414,415,415,415
22,415,448,448,448,448,451,455,451,455
23,543,540,543,540,540,543,543,540,540
24,768,671,639,639,639,639,639,639,639
25,799,772,768,768,768,712,704,704,704
26,705,671,639,639,639,639,634,639,632
27,511,511,511,511,511,511,511,511,511
28,391,414,415,448,448,448,448,448,448
29,319,384,384,384,387,385,391,391,399
30,391,399,448,448,448,448,448,448,448
31,575,575,575,575,575,575,575,575,569
32,768,768,768,704,704,704,704,704,671
33,799,768,768,768,768,712,704,705,704
34,639,624,608,608,575,575,575,575,575
35,384,387,399,399,415,399,399,412,415
36,227,255,255,312,255,316,319,319,319
37,384,387,399,415,415,448,448,448,448
38,639,638,624,624,612,626,624,624,608
39,799,780,768,768,768,768,768,768,705
40,768,768,704,671,671,671,639,639,639
41,627,608,575,575,575,575,575,575,575
42,508,510,505,508,510,505,504,497,511
43,412,448,448,448,448,448,448,448,448
44,448,455,455,480,463,480,480,480,480
45,543,540,540,540,527,543,540,540,527
46,575,574,568,568,561,568,568,568,543
47,624,575,575,575,575,575,575,575,575
48,614,575,575,575,575,575,575,575,575
49,575,575,574,572,568,568,568,561,568
50,511,511,511,511,511,511,511,511,511
51,451,480,480,480,480,480,480,480,480
52,415,448,448,451,455,455,455,463,463
53,415,448,448,448,451,455,455,455,455
54,512,512,512,512,512,512,512,512,512
55,637,608,608,575,575,575,575,575,575
56,768,768,704,671,639,639,639,639,639
57,799,768,768,768,768,712,704,704,704
58,768,768,704,704,671,639,639,639,639
59,511,511,511,511,511,511,511,511,511
60,255,319,384,384,384,384,385,385,387
61,312,319,384,384,384,384,385,385,387
62,514,512,515,515,512,518,512,512,512
63,704,639,639,638,624,633,624,624,624
64,776,768,704,704,704,704,639,639,671
65,704,704,639,639,639,639,639,639,639
66,560,568,543,543,543,543,543,543,543
67,399,448,448,448,449,448,455,455,451
68,255,319,384,384,384,384,387,387,384
69,391,399,448,448,448,448,448,448,448
70,575,572,575,572,560,568,543,543,563
71,768,639,639,639,639,639,636,636,638
72,768,704,671,671,639,639,639,639,639
73,639,639,632,624,624,624,624,614,608
74,504,511,504,504,511,508,511,511,508
75,448,448,448,448,455,455,463,463,455
76,451,455,480,480,480,480,480,480,480
