time,seafloor-depth,latitude,longitude,vehicle-attitude,vehicle-roll,vehicle-pitch,vehicle-yaw
1668826889.4001758,-14.681841101263469,-16.381839518000582,59.643804889204624,0.17188300824009276,3.437660164801855,1.896018820349127,170.80125157337534
1668826889.600167,-14.677425897263749,-16.381843820883216,59.6438020879871,0.2456327438356311,4.912654876712622,3.401874855160713,177.51280593918636
1668826889.8001878,-14.708902539909172,-16.381840921066974,59.643802470630504,0.22983343601226808,4.596668720245361,1.849034884106004,185.16387567887068
1668826890.0001907,-14.732898096690771,-16.381842041171797,59.643807356263046,0.1133293059298012,2.266586118596024,1.6354899963334901,190.83965002351033
1668826890.200165,-14.738258452773184,-16.381845276390028,59.64381508820814,0.08527583748059442,-1.459558388389496,1.7055167496118884,191.93757892598842
1668826890.4001489,-14.77238747978227,-16.381844284795132,59.64381012821652,0.050986537278004104,1.0197307455600821,0.8267086391197154,190.04306991507656
1668826890.6002347,-14.784282751036342,-16.381845583617384,59.6438052025165,0.1619486018918906,3.2389720378378115,0.6848562174600374,186.50699889274256
1668826890.8002188,-14.845774547835466,-16.3818508262387,59.64380741465141,0.10613845773204958,2.099177345980479,2.1227691546409915,182.4229729563267
1668826891.000136,-14.845607016268252,-16.381855995308655,59.643808167616974,0.18487101411869844,1.8032357640176997,3.697420282373969,181.08741383409324
1668826891.2001579,-14.81118416777722,-16.381858673830862,59.643819132414,0.21370748371564333,-3.1791320931624796,4.274149674312866,179.65545737103366
1668826891.400204,-15.005331148199094,-16.381855791864176,59.643827755404175,0.34721182966750347,-6.94423659335007,2.096050432566699,179.7508498247189
1668826891.600214,-15.136408628316184,-16.38185854445555,59.64381582827457,0.11433381078259117,-1.5561619319632882,2.2866762156518234,185.78689754389052
1668826891.800206,-15.179404679255438,-16.38186213764308,59.64379952508742,0.25212571524753,5.0425143049506005,4.842110236090093,196.60552608080616
1668826892.000195,-15.222329366598547,-16.3818577933924,59.64380302134994,0.1944889394661004,3.8897787893220084,2.466413890448166,206.208844278357
1668826892.200228,-15.204551059126473,-16.381861611245835,59.64381842454141,0.14504514325089984,-2.900902865017997,0.17887077467912604,209.7398681640625
1668826892.400224,-15.200854324083396,-16.381861517713208,59.64381666264108,0.09254783695760124,-1.850956739152025,-0.13062020239715366,207.15019639530146
1668826892.6002147,-15.142170167727063,-16.381860511965982,59.6438001953946,0.26757383957738057,5.351476791547611,1.2546807314502075,199.16818580613472
1668826892.8002467,-14.994995856101138,-16.38186070253626,59.643792400820104,0.4381188908853801,8.762377817707602,-0.00995412835618481,187.6044305928517
1668826893.000149,-14.987176711085553,-16.38186347909705,59.64379746723253,0.3027823474514662,6.055646949029324,-1.3381809642814915,173.39358498709043
1668826893.2001789,-14.92013268228443,-16.38186195164199,59.64379987292215,0.19721226207911968,3.882143020629883,-3.9442452415823936,157.79111338642542
1668826893.400162,-15.03971677743012,-16.381876072384724,59.64380302730713,0.25596374546666995,5.119274909333399,1.07795089775027,148.68777014347324
1668826893.600178,-14.956384852402563,-16.381883263440262,59.64381151400534,0.2569138170349561,3.450029879482827,5.138276340699122,147.8190119962983
1668826893.800248,-14.983240161909334,-16.3818750610959,59.64381826575798,0.13045633322047934,-1.5990408270372427,2.6091266644095867,153.80476339056258
1668826894.000133,-14.940797811936925,-16.38187301919122,59.64382894706307,0.3408019641481587,-6.816039282963175,1.8543702452061552,164.53940704579873
1668826894.200232,-15.130616112370795,-16.381877707196853,59.64382141737411,0.16358801741862408,-3.2717603483724815,1.2661823436847044,179.3229143542194
1668826894.4002478,-15.167046343203499,-16.38188449623326,59.6438038330356,0.21883659948675813,3.7832833144566393,4.376731989735163,193.41847511712695
1668826894.6001868,-15.250591872792002,-16.381884870034856,59.64380327654182,0.22459868843634467,3.381527075005579,4.4919737687268935,203.26214070823335
1668826894.8001878,-14.856894269671416,-16.381889279394574,59.643818886242464,0.19762183599868877,-3.9524367199737753,2.7845338279366842,207.48500387436297
1668826895.00015,-14.85030559480521,-16.38188951932556,59.643826063675185,0.33147401869118764,-6.629480373823753,0.639178186892309,207.1032896160723
1668826895.2001507,-14.991777772276038,-16.381886655096345,59.64381155788896,0.07919265671807807,0.33412548364140093,1.5838531343615614,205.05498763616197
1668826895.40024,-14.887900427477941,-16.381887113969896,59.64379699467316,0.33190354281473444,6.638070856294689,3.542224021638276,202.61034269063748
1668826895.600203,-14.844351476570353,-16.381885210439144,59.643796874145785,0.36680721411166817,7.336144282233363,1.4871827472816221,198.7120213146918
1668826895.8002048,-14.831857032026969,-16.38188734024451,59.64380031227999,0.2888747935667652,5.777495871335304,0.5059174080233788,192.3387616231994
