time,atmospheric-pressure,atmospheric-temperature,latitude,longitude,mean-displacement,speed
2024-04-25 00:00:17.181697+00:00,1.0065572133333334,25.72666666666667,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:05:19.871412+00:00,1.006753,25.6875,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:10:22.799583+00:00,1.00693829,25.74,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:15:25.592354+00:00,1.0071498719999998,25.683999999999997,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:20:28.898619+00:00,1.0075812499999999,25.660000000000004,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:25:21.426687+00:00,1.007965992,25.631999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:30:24.271478+00:00,1.0083923719999999,25.688,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:35:27.178331+00:00,1.008291596,25.625999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:40:30.593853+00:00,1.00765361,25.616000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:45:33.437965+00:00,1.007228928,25.644,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:50:26.233921+00:00,1.007723274,25.766000000000002,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 00:55:29.007658+00:00,1.007450634,25.758000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:00:32.403568+00:00,1.0077366060000001,25.772000000000002,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:05:35.230515+00:00,1.00832823,25.79,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:10:38.193713+00:00,1.009040814,25.869999999999997,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:15:31.231460+00:00,1.008581258,25.828000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:20:34.660918+00:00,1.008341996,25.827999999999996,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:25:37.439960+00:00,1.008455326,25.844,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:30:40.263825+00:00,1.008643412,25.941999999999997,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:35:43.280998+00:00,1.008436848,25.918,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:40:36.540078+00:00,1.008609804,25.926,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:45:39.362708+00:00,1.009294438,25.93,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:50:42.139610+00:00,1.009973724,25.982,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 01:55:45.271237+00:00,1.010529622,25.875999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:00:48.585588+00:00,1.010780318,25.79,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:05:41.188576+00:00,1.010731726,25.692,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:10:43.756278+00:00,1.0107977719999999,25.674,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:15:46.528083+00:00,1.009811928,25.577999999999996,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:20:49.886468+00:00,1.009120566,25.562,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:25:52.714437+00:00,1.009366688,25.574,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:30:45.617773+00:00,1.0099475,25.688,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:35:48.328263+00:00,1.01022042,25.706,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:40:51.584118+00:00,1.0107996240000001,25.758,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:45:54.208956+00:00,1.00909268,25.833999999999996,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:50:56.889350+00:00,1.00685952,26.157999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 02:55:59.610505+00:00,1.00327332,26.604000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:00:52.723282+00:00,1.0011732119999999,27.324,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:05:55.521059+00:00,0.999809626,28.242,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:10:58.304336+00:00,1.00095439,29.451999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:16:01.296840+00:00,1.003541264,30.576,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:21:04.353087+00:00,1.009313912,31.648000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:25:57.237727+00:00,1.013439714,32.528,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:30:59.995229+00:00,1.017557938,33.38,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:36:02.770156+00:00,1.0210516479999998,33.988,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:41:06.108313+00:00,1.0234104099999999,34.53,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:46:09.033411+00:00,1.023371382,35.047999999999995,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:51:01.769929+00:00,1.02357275,35.81,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 03:56:04.495685+00:00,1.024119612,36.592,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:01:08.005748+00:00,1.025071388,37.418,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:06:10.764517+00:00,1.027137814,38.194,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:11:13.634746+00:00,1.030537488,38.834,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:16:16.475082+00:00,1.031997442,39.136,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:21:09.646857+00:00,1.03277969,39.361999999999995,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:26:12.512178+00:00,1.033960118,39.57,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:31:15.321255+00:00,1.034334438,39.806,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:36:18.086064+00:00,1.036477134,40.074,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:41:11.349496+00:00,1.04052535,40.268,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:46:14.266112+00:00,1.050302268,40.06400000000001,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:51:17.175253+00:00,1.0569831559999998,39.18,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 04:56:19.883600+00:00,1.061793316,37.768,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:01:23.292705+00:00,1.0622258439999999,35.986,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:06:26.054463+00:00,1.061022474,34.098,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:11:18.833128+00:00,1.053226042,32.462,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:16:21.781559+00:00,1.04740507,31.308,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:21:25.299900+00:00,1.04262214,30.558,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:26:28.173525+00:00,1.03904826,30.116000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:31:31.070839+00:00,1.037362202,29.924,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:36:23.643202+00:00,1.036198926,29.701999999999998,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:41:27.136802+00:00,1.035066578,29.546,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:46:29.916362+00:00,1.0344573760000002,29.4,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:51:32.828841+00:00,1.0339654680000003,29.324,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 05:56:35.759048+00:00,1.032639954,29.162,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:01:29.326936+00:00,1.0319792920000002,29.05,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:06:32.319377+00:00,1.030256822,28.958,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:11:34.963586+00:00,1.029307422,28.974,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:16:37.811654+00:00,1.028783138,28.912,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:21:41.303452+00:00,1.027732388,28.886000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:26:34.340310+00:00,1.0269624480000001,28.862000000000002,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:31:37.449174+00:00,1.028067372,28.903999999999996,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:36:40.411699+00:00,1.027890998,28.834000000000003,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:41:43.831613+00:00,1.027355038,28.806,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:46:36.575483+00:00,1.027061174,28.82,-21.3132555,55.3206951,947.6811289293488,0.0
2024-04-25 06:51:39.459134+00:00,1.0275843679999999,28.862000000000002,-21.3132555,55.3206951,947.6811289293488,0.00023017171219082044
2024-04-25 06:56:42.378852+00:00,1.0269511560000002,28.734,-21.3132555,55.3206951,947.6811289293488,0.0005182628101966655
2024-04-25 07:01:45.853011+00:00,1.025869022,28.54,-21.313257836570155,55.32069735312122,948.0299773347085,0.0008063539058636441
2024-04-25 07:06:48.790385+00:00,1.024592532,28.296000000000003,-21.313260755931534,55.320700168219695,948.4658365091046,0.0010944449983020905
2024-04-25 07:11:41.745951+00:00,1.023436908,28.012,-21.31326357909975,55.320702890560476,948.8873345334143,0.006522778303194936
2024-04-25 07:16:44.834845+00:00,1.02000215,27.7,-21.313266499921305,55.32070570706697,949.3234126212129,0.012122226717170193
2024-04-25 07:21:48.257490+00:00,1.0171941859999998,27.522000000000002,-21.31321077497109,55.3207580739599,948.7700323989206,0.01766375677175965
2024-04-25 07:26:51.264848+00:00,1.014684544,27.466,-21.313150824334276,55.32081400351741,948.2239093501602,0.023205287834194056
