time,seafloor-depth,latitude,longitude,vehicle-attitude,vehicle-roll,vehicle-pitch,vehicle-yaw
1693973265.0001612,-5.539661526338614,-21.027717165596403,55.224898495548366,0.19178848066103454,-3.835769613220691,-0.44107345492739114,307.97886765003204
1693973265.200184,-5.526756312187759,-21.027713327186504,55.22489677197932,0.16751232827082277,-3.3502465654164553,2.9258640297921374,328.9469186300412
1693973265.400084,-5.528501902913039,-21.027710929304693,55.22490348175977,0.15436932276161314,2.7790016638573434,3.087386455232263,352.10050099453656
1693973265.600042,-5.5234197664112035,-21.027711955250382,55.22490572036707,0.1733803413082569,3.467606826165138,3.284486547780034,14.509177417261526
1693973265.800213,-5.518359955637328,-21.027712572909817,55.22490669802535,0.20085903763706484,3.23929496407186,4.017180752741297,30.946128197356302
1693973267.000153,-5.42080857715658,-21.02770781562925,55.22489884064319,0.09829030454088752,-1.460645048721517,1.9658060908177504,26.875760212922614
1693973267.2001967,-5.4194310101495695,-21.02770798903739,55.224900243657345,0.12208618025500755,-0.45793170925094273,2.441723605100151,32.29927097181462
1693973267.4001272,-5.396915909988467,-21.027706953951785,55.22490279198602,0.2457396890185919,0.6164865633090812,4.914793780371838,36.97152316391657
1693973267.600137,-5.402741447503265,-21.027709367089745,55.22490389319539,0.1864262539349511,2.750573483957851,3.728525078699022,41.39227955506976
1693973267.800151,-5.430021297094369,-21.027710835197748,55.2249003480559,0.05112786794938984,1.0225573589877968,0.11644048022481002,44.46578535302342
1693973269.000104,-5.460119249393157,-21.02769279794339,55.224909540343795,0.06112037150269316,-0.05458332870330196,1.2224074300538632,29.844559139906778
1693973269.2002132,-5.454018598429524,-21.02769264282474,55.22491096940819,0.10512944557558512,1.1996763026145345,2.1025889115117025,28.828662261159252
1693973269.4002,-5.458501948264691,-21.027691840770633,55.22491004383937,0.11996835707486753,-0.08506171914632432,2.3993671414973505,29.024387006516918
1693973269.600173,-5.476910440012524,-21.027692026666973,55.224909481154754,0.09490871581932651,-0.6578700308170937,1.8981743163865303,31.870909264287548
1693973269.800115,-5.482268507852297,-21.027693572195385,55.22491008160518,0.042292833877741035,0.6146957351784295,0.8458566775548206,35.95237160048055
1693973272.0001771,-5.367128861049363,-21.02766860077063,55.22492529038977,0.02210317191456852,0.3079894249267454,0.4420634382913704,9.191909191682498
1693973272.200133,-5.352607689358849,-21.027666196366134,55.224924910466385,0.1501102184638512,-0.41999995708465576,3.002204369277024,7.761208644564704
