index,salt-9gpl-freq-131khz,salt-13gpl-freq-131khz,salt-17gpl-freq-131khz,salt-21gpl-freq-131khz,salt-24gpl-freq-131khz,salt-28gpl-freq-131khz,salt-32gpl-freq-131khz,salt-36gpl-freq-131khz,salt-40gpl-freq-131khz
616,782,768,704,704,671,671,639,706,639
617,798,776,768,768,768,712,704,639,704
618,608,639,636,632,624,624,624,504,624
619,387,448,480,480,480,480,480,385,480
620,255,255,384,384,384,384,384,384,384
621,384,319,384,384,384,387,387,463,391
622,519,512,512,512,512,512,512,575,512
623,704,639,624,624,624,614,608,639,608
624,768,704,639,639,639,639,639,632,639
625,639,639,636,632,624,624,624,575,624
626,511,572,568,563,543,543,560,487,560
627,391,448,455,463,455,462,480,391,480
628,255,319,384,384,384,384,384,387,384
629,391,384,387,391,399,409,415,512,415
630,575,543,543,540,543,543,543,636,542
631,768,704,639,639,639,639,639,704,639
632,797,768,768,768,768,712,712,671,704
633,704,768,704,704,671,639,639,575,639
634,511,575,575,575,572,568,574,480,572
635,384,448,448,449,448,448,451,399,455
636,319,384,384,391,391,391,399,415,399
637,391,391,399,414,415,415,415,512,448
638,543,512,512,512,515,515,519,575,512
639,639,609,575,575,575,575,575,624,575
640,639,639,638,636,632,626,632,624,624
641,639,639,636,632,624,624,624,560,624
642,496,511,511,511,511,511,511,451,511
643,384,399,448,448,448,448,448,387,448
644,319,319,384,384,384,384,384,415,391
645,448,414,448,448,448,448,448,519,448
646,575,543,543,543,543,543,543,612,542
647,768,639,639,639,638,639,639,639,632
648,768,768,704,671,639,639,671,609,639
649,511,608,575,575,575,575,575,480,575
650,384,415,448,448,451,448,448,384,451
651,255,255,319,384,384,384,384,384,384
652,384,384,384,384,387,391,391,512,399
653,608,543,540,543,540,543,543,624,543
654,704,639,639,639,636,638,639,624,632
655,636,639,632,624,624,624,624,568,608
656,511,543,543,543,543,543,543,480,543
657,384,415,448,448,448,448,448,399,448
658,319,384,385,387,391,391,391,415,399
659,391,387,399,415,415,415,415,512,448
660,560,524,513,526,515,519,527,608,524
661,639,639,624,626,609,611,624,632,609
662,639,639,637,639,632,625,632,575,624
663,575,575,575,575,575,575,575,574,575
664,608,575,575,575,575,575,575,575,574
665,624,624,608,608,575,575,575,575,575
666,575,575,575,575,574,572,568,543,568
667,543,543,543,543,543,543,543,527,543
668,511,527,527,527,527,527,527,504,527
669,480,480,487,496,496,496,497,512,496
670,527,515,524,519,519,524,524,568,518
671,608,575,575,575,575,575,575,575,574
672,624,608,608,575,575,575,575,575,575
673,632,624,611,608,575,608,575,575,575
674,575,575,575,575,575,575,575,568,575
675,569,572,560,563,568,568,560,511,543
676,499,511,511,511,511,511,511,480,511
677,415,448,448,451,455,455,455,480,455
678,512,463,480,480,480,480,481,542,481
679,575,569,568,572,543,568,560,575,561
680,639,632,624,624,608,611,608,624,608
681,704,639,639,639,636,639,636,624,632
682,639,639,624,624,624,614,624,575,608
683,572,575,572,572,572,568,568,511,563
684,455,481,487,487,497,496,496,463,496
685,415,448,448,448,455,455,455,451,455
686,448,448,448,449,451,455,455,512,455
687,515,512,512,512,512,512,512,543,512
688,575,572,561,568,543,560,568,575,543
689,632,608,575,608,575,575,575,608,575
690,639,632,614,624,608,608,608,574,608
691,511,543,543,543,543,543,543,463,543
692,384,399,415,415,448,448,448,412,448
693,384,384,391,391,399,415,414,480,415
694,515,512,512,512,512,512,512,575,512
695,639,624,609,624,575,610,608,639,608
696,768,768,704,704,704,704,671,704,671
697,768,768,704,704,704,671,639,632,639
698,608,632,608,608,609,575,575,511,575
699,448,480,480,480,481,480,481,415,480
700,384,384,391,391,399,399,415,399,415
701,384,384,391,399,399,414,415,480,415
702,512,512,512,512,512,512,512,568,512
703,624,575,575,575,575,575,575,624,575
704,671,639,634,638,632,624,624,636,624
705,639,639,639,639,639,632,632,572,624
706,511,543,511,511,543,511,511,455,511
707,384,415,415,415,448,448,448,399,448
708,384,384,391,391,399,399,415,415,415
709,391,391,415,415,415,448,448,480,448
710,512,512,512,512,512,512,512,537,512
711,569,543,543,543,543,543,543,575,543
712,636,608,575,575,575,575,575,624,575
713,639,639,638,632,632,624,624,575,624
714,568,575,575,572,575,575,575,496,572
715,448,463,463,463,480,480,480,448,480
716,384,399,415,415,448,448,448,415,448
717,384,387,399,414,415,448,415,448,415
718,448,448,448,451,449,451,455,519,455
719,568,536,543,543,540,527,540,575,540
720,636,624,608,608,608,575,575,575,575
721,575,575,575,575,575,574,572,496,572
722,391,451,451,455,463,463,463,384,463
723,255,319,384,384,384,384,384,384,384
724,319,319,384,384,384,384,384,463,384
725,540,512,512,512,512,512,512,608,512
726,768,639,639,639,634,639,638,704,632
727,799,768,768,768,768,708,704,639,704
728,639,704,639,639,639,639,639,543,638
729,480,511,511,511,511,511,511,448,511
730,319,391,399,399,415,415,415,399,415
731,384,384,384,387,391,399,399,448,412
732,463,448,449,455,455,463,463,540,480
733,624,568,561,572,563,568,568,608,563
734,639,639,624,625,624,624,624,608,608
735,639,632,624,624,611,608,609,575,608
736,575,575,575,575,575,575,575,511,575
737,448,496,496,496,496,487,496,448,496
738,352,387,399,399,414,414,415,448,415
739,385,391,414,415,415,415,448,455,448
740,448,448,455,451,463,462,463,512,480
741,527,512,512,512,519,515,519,542,515
742,569,543,543,543,543,543,543,561,543
743,608,575,575,575,575,575,575,574,572
744,575,575,575,575,575,574,574,543,569
745,561,568,560,560,543,543,543,543,543
746,543,543,543,543,543,543,543,540,543
747,504,526,527,527,524,526,519,480,526
748,385,448,448,448,448,448,448,391,448
749,255,319,384,384,384,384,384,399,385
750,385,384,391,399,412,415,415,512,415
751,527,512,512,512,515,512,519,575,515
752,624,608,575,575,575,575,575,575,575
753,511,560,543,543,543,543,543,480,543
754,399,448,448,448,448,451,448,415,451
755,387,391,414,415,415,448,415,455,448
756,512,455,480,480,480,480,480,512,480
757,499,512,512,512,512,512,512,511,512
758,497,504,508,510,510,511,515,496,512
759,480,480,483,487,496,496,496,496,496
760,512,512,512,512,512,512,512,543,512
761,608,575,572,575,574,568,568,575,561
762,575,575,575,575,575,575,572,536,574
763,508,511,511,511,511,511,511,487,511
764,448,480,480,480,480,481,480,448,483
765,384,415,448,415,448,448,448,448,448
766,391,399,415,415,448,448,448,480,448
767,512,512,512,512,512,512,512,543,512
768,575,575,563,572,568,560,568,575,560
769,568,575,572,572,569,568,568,511,563
770,414,455,480,480,480,480,480,412,481
771,255,319,384,384,384,387,385,387,391
772,384,384,385,391,391,399,399,512,399
773,543,512,512,512,512,512,512,543,512
774,575,575,568,568,572,561,568,543,560
775,543,543,543,543,543,543,543,524,543
776,496,508,511,511,511,511,511,504,511
777,463,480,496,496,496,496,496,480,499
778,385,415,448,448,448,448,448,448,451
779,384,384,399,412,415,415,415,448,415
780,455,448,448,455,455,455,462,513,462
781,572,542,527,540,527,527,540,560,540
782,575,575,568,568,572,563,568,511,568
783,448,487,496,496,504,497,504,448,504
784,319,384,399,399,412,415,412,399,415
785,384,384,391,399,399,415,414,512,415
786,513,512,512,512,512,512,512,540,512
787,543,543,543,543,542,542,543,536,540
788,527,527,527,527,527,527,527,496,527
